frame.time_relative,ip.src,ip.dst,frame.len,ip.proto
"0.000000000","10.0.2.15","10.0.2.3","64","17"
"0.000057628","10.0.2.15","10.0.2.3","64","17"
"0.010569208",,,"134",
"0.014474352","10.0.2.3","10.0.2.15","139","17"
"0.014474553","10.0.2.3","10.0.2.15","139","17"
"0.015311308","10.0.2.15","10.0.2.3","64","17"
"0.015357487","10.0.2.15","10.0.2.3","64","17"
"0.023993721","10.0.2.3","10.0.2.15","139","17"
"0.023994023","10.0.2.3","10.0.2.15","139","17"
"0.024041954",,,"110",
"0.204592703","10.0.2.15","10.0.2.3","88","17"
"0.204851120","10.0.2.15","10.0.2.3","88","17"
"0.211611418","10.0.2.3","10.0.2.15","169","17"
"0.211611695","10.0.2.3","10.0.2.15","104","17"
"0.271192079","10.0.2.15","34.36.137.203","1399","17"
"0.305360326","34.36.137.203","10.0.2.15","1399","17"
"0.337169928","34.36.137.203","10.0.2.15","1399","17"
"0.337170210","34.36.137.203","10.0.2.15","1399","17"
"0.344141557","10.0.2.15","34.36.137.203","84","17"
"0.353627729","34.36.137.203","10.0.2.15","728","17"
"0.383534330",,,"110",
"0.388302047","34.36.137.203","10.0.2.15","728","17"
"0.388634235","10.0.2.15","34.36.137.203","85","17"
"0.388800602","10.0.2.15","34.36.137.203","86","17"
"0.520983105","10.0.2.15","34.36.137.203","177","17"
"0.521067987","10.0.2.15","34.36.137.203","114","17"
"0.528919076","34.36.137.203","10.0.2.15","614","17"
"0.528920201","34.36.137.203","10.0.2.15","166","17"
"0.528920227","34.36.137.203","10.0.2.15","68","17"
"0.529616441","10.0.2.15","34.36.137.203","73","17"
"0.530165449","10.0.2.15","34.36.137.203","235","17"
"0.559730995","34.36.137.203","10.0.2.15","73","17"
"0.567285250","10.0.2.15","10.0.2.3","95","17"
"0.567775490","10.0.2.15","10.0.2.3","95","17"
"0.577445470","10.0.2.3","10.0.2.15","181","17"
"0.577445760","10.0.2.3","10.0.2.15","193","17"
